POA (UR),"Postgraduate Degree Level, nfd","Doctoral Degree Level, nfd",Higher Doctorate,"Professional Specialist Qualification, Doctoral Degree Level","Master Degree Level, nfd","Graduate Diploma and Graduate Certificate Level, nfd",Graduate Diploma,Graduate Certificate,"Bachelor Degree Level, nfd","Advanced Diploma and Diploma Level, nfd",Advanced Diploma,Associate Degree,"Diploma Level, nfd",Diploma,"Certificate III & IV Level, nfd",Certificate IV,Certificate III,Year 12,Year 11,Year 10,"Certificate I & II Level, nfd",Certificate II,Certificate I,Year 9,Year 8 or below,Inadequately described,No educational attainment,Not stated,Not applicable,Total
"3000, VIC",52,566,20,19,6607,119,573,159,13454,47,1050,80,0,2689,0,722,1147,7290,702,509,0,8,0,242,204,678,182,4506,1457,43084
"3002, VIC",8,162,7,31,696,20,187,34,1652,0,197,0,0,193,0,61,137,471,141,94,0,0,0,34,36,96,9,332,289,4896
"3003, VIC",15,179,10,5,1197,33,152,51,2539,3,186,14,0,407,0,151,286,1001,161,248,0,0,0,57,63,130,16,529,589,8025
"3004, VIC",29,253,17,21,1610,51,276,74,3366,8,428,14,0,575,0,199,412,1216,294,216,0,7,0,93,40,241,19,1213,809,11482
"3006, VIC",55,358,16,27,3921,108,461,126,7503,14,710,43,3,1240,0,454,708,2784,351,332,0,4,0,121,74,417,54,1462,1360,22699
"3008, VIC",21,232,11,10,2435,69,247,85,4924,16,449,18,0,761,0,247,534,1737,271,269,0,7,0,99,68,275,59,1456,1208,15495
"3011, VIC",27,311,10,7,2188,80,608,171,5317,21,586,28,0,1039,0,529,1095,2920,505,668,0,10,0,358,657,313,313,1781,2729,22278
"3012, VIC",28,269,5,5,2124,87,569,201,5496,14,721,16,0,1281,6,656,1598,3457,783,1050,0,8,3,594,923,401,368,1771,4580,27023
"3013, VIC",21,213,7,9,1205,40,419,122,3660,9,454,8,3,661,0,366,913,1781,417,527,0,3,0,314,501,211,134,635,2994,15636
"3015, VIC",22,217,3,3,1228,51,478,149,4018,5,531,16,0,890,0,393,1283,2004,658,627,0,3,0,344,438,269,130,858,4017,18634
"3016, VIC",33,245,12,7,1153,59,496,95,3395,3,613,9,0,709,0,308,1029,1866,678,708,0,4,0,422,380,275,72,652,2808,16025
"3018, VIC",17,121,0,4,711,30,303,77,2298,9,436,7,0,654,0,368,1246,1454,649,761,0,0,0,450,506,243,84,743,2383,13556
"3019, VIC",3,30,3,0,592,23,80,24,1457,5,231,12,0,387,0,169,510,1601,336,548,0,6,3,342,502,190,334,783,1508,9682
"3020, VIC",18,143,0,3,1828,64,473,92,5617,33,920,29,0,1872,0,1008,2913,7224,1768,2624,0,41,17,1562,3213,701,1523,3448,7254,44372
"3021, VIC",13,117,6,0,1475,68,324,53,5117,55,1099,22,0,2248,0,1065,3857,9529,2398,3687,0,39,11,2105,4240,864,2185,5187,9354,55112
"3022, VIC",0,16,0,0,131,5,42,8,376,0,72,4,0,145,0,89,243,445,133,151,0,0,0,108,154,44,125,324,542,3170
"3023, VIC",36,204,9,27,2265,117,625,151,8830,34,1624,47,0,2965,21,1461,4757,10403,2787,5214,0,34,0,1940,2845,1113,1228,4142,14273,67146
"3024, VIC",11,129,0,0,2270,89,356,79,4380,32,733,8,0,1771,0,996,2796,3515,1376,1974,0,33,3,951,692,516,388,1720,9180,34004
"3025, VIC",9,50,0,4,466,23,200,52,1753,6,293,9,0,555,0,282,974,1675,463,651,0,10,3,417,981,177,391,901,2624,12962
"3026, VIC",6,19,0,5,294,25,64,21,1233,9,200,4,0,421,0,178,553,1329,303,441,0,0,4,211,248,128,150,476,2441,8770
"3027, VIC",7,61,7,8,1225,46,103,19,1984,3,227,3,0,462,0,166,403,1032,221,254,0,4,0,141,88,122,47,517,2297,9448
"3028, VIC",13,112,0,4,1248,52,360,112,3507,17,731,16,0,1438,0,802,2782,3751,1431,1890,0,12,3,1054,1294,484,401,1851,4824,28191
"3029, VIC",68,483,25,30,10354,389,1296,259,18492,112,3077,62,0,7264,17,2822,8301,15161,4254,6696,0,61,3,2907,2678,2135,1080,7867,33996,129888
"3030, VIC",86,627,20,64,8240,309,1503,351,17514,76,3008,67,0,5793,3,2984,9030,13728,4713,6411,0,63,13,3432,2755,1981,1053,6506,28862,119201
"3031, VIC",45,426,17,9,1852,52,535,130,4525,13,463,19,0,697,0,343,712,2148,404,517,0,9,0,271,445,223,273,1079,2564,17772
"3032, VIC",50,425,12,12,2535,102,744,157,6944,14,878,26,0,1380,0,646,1630,3889,970,1062,0,6,5,582,750,540,318,1583,4585,29874
"3033, VIC",17,68,4,13,515,42,233,55,2287,7,485,3,0,636,4,331,1383,1958,802,893,0,5,0,521,917,285,191,780,2640,15078
"3034, VIC",10,51,5,13,452,18,166,37,1933,7,328,6,0,502,0,221,1014,1712,529,663,0,5,0,446,1052,237,243,768,1977,12388
"3036, VIC",4,25,0,7,171,10,110,25,903,3,208,0,0,248,0,156,655,888,345,354,0,0,0,226,238,136,33,278,952,5974
"3037, VIC",24,110,8,11,1574,87,563,103,6416,20,1377,45,0,2480,0,1364,4843,8501,2533,3129,0,19,9,1652,2110,1008,707,2399,10290,51402
"3038, VIC",29,73,4,16,726,41,340,58,3461,7,825,11,0,1199,0,636,2707,4598,1549,1776,0,16,3,883,1526,607,393,1348,3874,26703
"3039, VIC",42,287,3,15,1354,81,506,143,3890,3,539,16,0,771,0,337,912,2012,566,582,0,4,0,319,534,246,125,700,2250,16224
"3040, VIC",55,285,14,37,1803,93,724,160,5976,16,990,27,0,1274,0,543,1707,3614,1153,1094,0,6,0,607,640,444,137,1226,4094,26722
"3041, VIC",21,102,0,20,714,34,294,72,2508,4,496,6,0,614,0,298,985,1825,645,655,0,5,0,320,327,257,61,516,2337,13111
"3042, VIC",18,100,0,4,615,26,276,75,2478,16,548,3,0,827,0,466,1714,2168,876,931,0,5,0,568,862,301,173,813,2895,16763
"3043, VIC",0,44,0,0,459,16,185,46,1979,15,531,11,0,844,0,511,1888,2687,1010,1320,0,15,0,710,924,375,254,1085,2995,17912
"3044, VIC",23,336,3,12,1768,84,644,152,5589,21,848,34,0,1398,0,674,2058,3560,1121,1148,5,8,3,740,1203,493,250,1410,5108,28701
"3045, VIC",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,44,10,64
"3046, VIC",42,217,4,8,2404,89,568,146,5806,27,925,16,3,1926,0,820,2645,4729,1359,1769,0,6,9,1060,1751,626,531,2800,6470,36772
"3047, VIC",4,55,0,0,814,22,148,20,1828,17,371,6,0,863,0,339,1318,2931,869,1326,0,25,3,895,1646,285,758,2317,4612,21478
"3048, VIC",0,39,0,0,379,12,155,21,1301,13,332,9,0,660,0,338,1127,2880,853,1176,0,18,3,859,1618,279,740,1431,3820,18081
"3049, VIC",4,29,3,0,199,9,120,29,994,5,296,5,0,525,0,308,1133,1462,593,749,0,3,0,386,413,196,116,583,1653,9812
"3051, VIC",24,532,31,30,1880,43,339,117,3948,13,354,19,0,546,0,253,456,1941,288,325,0,0,3,212,242,178,108,1348,1733,14953
