POA (UR),Population
"3000, VIC",43084
"3002, VIC",4896
"3003, VIC",8025
"3004, VIC",11482
"3006, VIC",22699
"3008, VIC",15495
"3011, VIC",22278
"3012, VIC",27023
"3013, VIC",15636
"3015, VIC",18634
"3016, VIC",16025
"3018, VIC",13556
"3019, VIC",9682
"3020, VIC",44372
"3021, VIC",55112
"3022, VIC",3170
"3023, VIC",67146
"3024, VIC",34004
"3025, VIC",12962
"3026, VIC",8770
"3027, VIC",9448
"3028, VIC",28191
"3029, VIC",129888
"3030, VIC",119201
"3031, VIC",17772
"3032, VIC",29874
"3033, VIC",15078
"3034, VIC",12388
"3036, VIC",5974
"3037, VIC",51402
"3038, VIC",26703
"3039, VIC",16224
"3040, VIC",26722
"3041, VIC",13111
"3042, VIC",16763
"3043, VIC",17912
"3044, VIC",28701
"3045, VIC",64
"3046, VIC",36772
"3047, VIC",21478
"3048, VIC",18081
"3049, VIC",9812
"3051, VIC",14953
"3052, VIC",7297
"3053, VIC",16034
"3054, VIC",8186
"3055, VIC",14746
"3056, VIC",24912
"3057, VIC",13262
"3058, VIC",34906
"3059, VIC",21274
"3060, VIC",14274
"3061, VIC",4977
"3062, VIC",6
"3063, VIC",563
"3064, VIC",114413
"3065, VIC",10431
"3066, VIC",9179
"3067, VIC",9096
"3068, VIC",19382
"3070, VIC",25276
"3071, VIC",19005
"3072, VIC",33790
"3073, VIC",51096
"3074, VIC",20234
"3075, VIC",23219
"3076, VIC",33489
"3078, VIC",12237
"3079, VIC",17055
"3081, VIC",14003
"3082, VIC",28712
"3083, VIC",31529
"3084, VIC",27045
"3085, VIC",14050
"3087, VIC",9156
"3088, VIC",27181
"3089, VIC",12503
"3090, VIC",2575
"3091, VIC",1602
"3093, VIC",3962
"3094, VIC",9250
"3095, VIC",28373
"3096, VIC",1911
"3097, VIC",1536
"3099, VIC",4993
"3101, VIC",24499
"3102, VIC",6620
"3103, VIC",15621
"3104, VIC",21302
"3105, VIC",11124
"3106, VIC",16966
"3107, VIC",14164
"3108, VIC",25054
"3109, VIC",30926
"3111, VIC",12644
"3113, VIC",8562
"3114, VIC",3835
"3115, VIC",3843
"3116, VIC",11779
"3121, VIC",31534
"3122, VIC",22322
"3123, VIC",14834
"3124, VIC",21965
"3125, VIC",15147
"3126, VIC",7773
"3127, VIC",18608
"3128, VIC",22841
"3129, VIC",17946
"3130, VIC",33044
"3131, VIC",23191
"3132, VIC",16795
"3133, VIC",22951
"3134, VIC",34607
"3135, VIC",20698
"3136, VIC",46296
"3137, VIC",14558
"3138, VIC",23059
"3139, VIC",14257
"3140, VIC",17348
"3141, VIC",25028
"3142, VIC",12817
"3143, VIC",9376
"3144, VIC",10763
"3145, VIC",23594
"3146, VIC",26131
"3147, VIC",15102
"3148, VIC",9552
"3149, VIC",35340
"3150, VIC",63298
"3151, VIC",10675
"3152, VIC",34940
"3153, VIC",21276
"3154, VIC",4500
"3155, VIC",23660
"3156, VIC",38484
"3158, VIC",6818
"3159, VIC",2593
"3160, VIC",9024
"3161, VIC",16903
"3162, VIC",18075
"3163, VIC",32810
"3165, VIC",30159
"3166, VIC",24753
"3167, VIC",9851
"3168, VIC",21880
"3169, VIC",20820
"3170, VIC",19889
"3171, VIC",22174
"3172, VIC",23261
"3173, VIC",30018
"3174, VIC",39693
"3175, VIC",53545
"3177, VIC",11889
"3178, VIC",33571
"3179, VIC",6066
"3180, VIC",7645
"3181, VIC",19636
"3182, VIC",22438
"3183, VIC",17964
"3184, VIC",15153
"3185, VIC",13433
"3186, VIC",23252
"3187, VIC",16757
"3188, VIC",18587
"3189, VIC",6287
"3190, VIC",12007
"3191, VIC",10926
"3192, VIC",24129
"3193, VIC",20207
"3194, VIC",13221
"3195, VIC",37364
"3196, VIC",26876
"3197, VIC",12032
"3198, VIC",17215
"3199, VIC",56127
"3200, VIC",5711
"3201, VIC",21976
"3202, VIC",2826
"3204, VIC",33130
"3205, VIC",11548
"3206, VIC",10043
"3207, VIC",17633
"3211, VIC",1353
"3212, VIC",19272
"3213, VIC",4753
"3214, VIC",24500
"3215, VIC",21994
"3216, VIC",60123
"3217, VIC",20499
"3218, VIC",14942
"3219, VIC",20309
"3220, VIC",17270
"3221, VIC",801
"3222, VIC",18576
"3223, VIC",9536
"3224, VIC",15101
"3225, VIC",5408
"3226, VIC",17714
"3227, VIC",5459
"3228, VIC",24181
"3230, VIC",3208
"3231, VIC",1571
"3232, VIC",1327
"3233, VIC",2363
"3234, VIC",237
"3235, VIC",515
"3236, VIC",257
"3237, VIC",276
"3238, VIC",251
"3239, VIC",491
"3240, VIC",2169
"3241, VIC",3072
"3242, VIC",942
"3243, VIC",392
"3249, VIC",3368
"3250, VIC",12756
"3251, VIC",524
"3254, VIC",358
"3260, VIC",4801
"3264, VIC",2254
"3265, VIC",2827
"3266, VIC",3047
"3267, VIC",214
"3268, VIC",2552
"3269, VIC",676
"3270, VIC",322
"3271, VIC",188
"3272, VIC",1641
"3273, VIC",130
"3274, VIC",256
"3275, VIC",490
"3276, VIC",437
"3277, VIC",1820
"3278, VIC",343
"3279, VIC",300
"3280, VIC",33298
"3281, VIC",1857
"3282, VIC",2488
"3283, VIC",1423
"3284, VIC",3860
"3285, VIC",1255
"3286, VIC",532
